species,genomes,superkingdom,doubling_h,growth_tmp,Representative.genome
Thermococcus celericrescens,RS_GCF_008152015.1,Archaea,0.23,79.8,RS_GCF_001484195.1
Thermococcus gammatolerans,RS_GCF_000022365.1,Archaea,1.77,89.4,RS_GCF_000022365.1
Thermococcus nautili,RS_GCF_000585495.1,Archaea,0.95,87.8,RS_GCF_000585495.1
Thermococcus nautili,RS_GCF_012027685.1,Archaea,0.95,87.8,RS_GCF_000585495.1
Thermococcus nautili,RS_GCF_946300405.1,Archaea,0.95,87.8,RS_GCF_000585495.1
Thermococcus peptonophilus,GB_GCA_001315905.1,Archaea,0.38,85.2,RS_GCF_001592435.1
Thermococcus peptonophilus,RS_GCF_001592435.1,Archaea,0.38,85.2,RS_GCF_001592435.1
Thermococcus profundus,RS_GCF_002214585.1,Archaea,0.63,80.3,RS_GCF_002214585.1
Thermococcus siculi,RS_GCF_002214505.1,Archaea,2.18,84.8,RS_GCF_002214505.1
Thermococcus thioreducens,RS_GCF_001418715.1,Archaea,0.5,84,RS_GCF_002214545.1
Thermococcus thioreducens,RS_GCF_002214545.1,Archaea,0.5,84,RS_GCF_002214545.1
Thermococcus thioreducens,RS_GCF_900109425.1,Archaea,0.5,84,RS_GCF_002214545.1
Thermococcus_A sibiricus,RS_GCF_000022545.1,Archaea,0.72,78,RS_GCF_000022545.1
Thermococcus_A sibiricus,GB_GCA_013330395.1,Archaea,0.72,78,RS_GCF_000022545.1
Thermococcus_A sibiricus,RS_GCF_014361105.1,Archaea,0.72,78,RS_GCF_000022545.1
Thermococcus_A sibiricus,RS_GCF_001508065.1,Archaea,0.72,78,RS_GCF_000022545.1
Thermococcus_A sibiricus,GB_GCA_001508175.1,Archaea,0.72,78,RS_GCF_000022545.1
Thermococcus_B barophilus,RS_GCF_000151105.2,Archaea,0.44,84.9,RS_GCF_000151105.2
Thermococcus_B barophilus,RS_GCF_001433455.1,Archaea,0.44,84.9,RS_GCF_000151105.2
Thermoplasma acidophilum,GB_GCA_026627405.1,Archaea,2.77,59,RS_GCF_000195915.1
Thermoplasma acidophilum,RS_GCF_000195915.1,Archaea,2.77,59,RS_GCF_000195915.1
Thermoplasma volcanium,RS_GCF_000011185.1,Archaea,3.6,60,RS_GCF_000011185.1
Thermoproteus uzoniensis,RS_GCF_000193375.1,Archaea,1.95,86.3,RS_GCF_000193375.1
Thermosphaera aggregans,RS_GCF_000092185.1,Archaea,1.81,85,RS_GCF_000092185.1
Acidianus_B brierleyi,RS_GCF_003201835.2,Archaea,6.83,68.3,RS_GCF_003201835.2
